group,function,value,sample_time_nanos,iteration_count
oddsketch insert 1 million,,,1704951.0,1
oddsketch insert 1 million,,,3412037.0,2
oddsketch insert 1 million,,,5174320.0,3
oddsketch insert 1 million,,,6769955.0,4
oddsketch insert 1 million,,,8674882.0,5
oddsketch insert 1 million,,,10410993.0,6
oddsketch insert 1 million,,,11898266.0,7
oddsketch insert 1 million,,,13569842.0,8
oddsketch insert 1 million,,,15402224.0,9
oddsketch insert 1 million,,,17089634.0,10
oddsketch insert 1 million,,,20339149.0,11
oddsketch insert 1 million,,,22352110.0,12
oddsketch insert 1 million,,,24153125.0,13
oddsketch insert 1 million,,,25845431.0,14
oddsketch insert 1 million,,,27755322.0,15
oddsketch insert 1 million,,,29518328.0,16
oddsketch insert 1 million,,,31434509.0,17
oddsketch insert 1 million,,,33418903.0,18
oddsketch insert 1 million,,,35050448.0,19
oddsketch insert 1 million,,,37124870.0,20
oddsketch insert 1 million,,,38994595.0,21
oddsketch insert 1 million,,,40867898.0,22
oddsketch insert 1 million,,,42696536.0,23
oddsketch insert 1 million,,,44434852.0,24
oddsketch insert 1 million,,,46331133.0,25
oddsketch insert 1 million,,,48508618.0,26
oddsketch insert 1 million,,,50103001.0,27
oddsketch insert 1 million,,,51954080.0,28
oddsketch insert 1 million,,,53718674.0,29
oddsketch insert 1 million,,,55639100.0,30
oddsketch insert 1 million,,,64747834.0,31
oddsketch insert 1 million,,,67455512.0,32
oddsketch insert 1 million,,,69393551.0,33
oddsketch insert 1 million,,,71008238.0,34
oddsketch insert 1 million,,,72913209.0,35
oddsketch insert 1 million,,,75920750.0,36
oddsketch insert 1 million,,,77700228.0,37
oddsketch insert 1 million,,,79833075.0,38
oddsketch insert 1 million,,,81254451.0,39
oddsketch insert 1 million,,,84164837.0,40
oddsketch insert 1 million,,,86309274.0,41
oddsketch insert 1 million,,,87866846.0,42
oddsketch insert 1 million,,,89767236.0,43
oddsketch insert 1 million,,,92908254.0,44
oddsketch insert 1 million,,,94688852.0,45
oddsketch insert 1 million,,,96741964.0,46
oddsketch insert 1 million,,,99021043.0,47
oddsketch insert 1 million,,,100782942.0,48
oddsketch insert 1 million,,,103345357.0,49
oddsketch insert 1 million,,,105247456.0,50
oddsketch insert 1 million,,,106350479.0,51
oddsketch insert 1 million,,,109652202.0,52
oddsketch insert 1 million,,,111577017.0,53
oddsketch insert 1 million,,,113606060.0,54
oddsketch insert 1 million,,,115601109.0,55
oddsketch insert 1 million,,,117291081.0,56
oddsketch insert 1 million,,,119345734.0,57
oddsketch insert 1 million,,,122022096.0,58
oddsketch insert 1 million,,,123700727.0,59
oddsketch insert 1 million,,,126416721.0,60
oddsketch insert 1 million,,,128285374.0,61
oddsketch insert 1 million,,,130520871.0,62
oddsketch insert 1 million,,,132178730.0,63
oddsketch insert 1 million,,,134037463.0,64
oddsketch insert 1 million,,,136583471.0,65
oddsketch insert 1 million,,,137908167.0,66
oddsketch insert 1 million,,,140619574.0,67
oddsketch insert 1 million,,,142387051.0,68
oddsketch insert 1 million,,,144738127.0,69
oddsketch insert 1 million,,,147144840.0,70
oddsketch insert 1 million,,,148879344.0,71
oddsketch insert 1 million,,,150819273.0,72
oddsketch insert 1 million,,,152902492.0,73
oddsketch insert 1 million,,,155045466.0,74
oddsketch insert 1 million,,,156576847.0,75
oddsketch insert 1 million,,,159246554.0,76
oddsketch insert 1 million,,,161435554.0,77
oddsketch insert 1 million,,,163513839.0,78
oddsketch insert 1 million,,,166232094.0,79
oddsketch insert 1 million,,,168044864.0,80
oddsketch insert 1 million,,,169960040.0,81
oddsketch insert 1 million,,,171646245.0,82
oddsketch insert 1 million,,,174151700.0,83
oddsketch insert 1 million,,,175592967.0,84
oddsketch insert 1 million,,,178530626.0,85
oddsketch insert 1 million,,,180621324.0,86
oddsketch insert 1 million,,,182624012.0,87
oddsketch insert 1 million,,,185044108.0,88
oddsketch insert 1 million,,,187262231.0,89
oddsketch insert 1 million,,,188951395.0,90
oddsketch insert 1 million,,,191797836.0,91
oddsketch insert 1 million,,,193396366.0,92
oddsketch insert 1 million,,,194434684.0,93
oddsketch insert 1 million,,,198384285.0,94
oddsketch insert 1 million,,,200260929.0,95
oddsketch insert 1 million,,,202269625.0,96
oddsketch insert 1 million,,,204692206.0,97
oddsketch insert 1 million,,,206356524.0,98
oddsketch insert 1 million,,,208068567.0,99
oddsketch insert 1 million,,,209677485.0,100
