group,function,value,sample_time_nanos,iteration_count
oddsketch insert single,,,1709.0,240
oddsketch insert single,,,2473.0,480
oddsketch insert single,,,3498.0,720
oddsketch insert single,,,4518.0,960
oddsketch insert single,,,7910.0,1200
oddsketch insert single,,,7697.0,1440
oddsketch insert single,,,8900.0,1680
oddsketch insert single,,,10284.0,1920
oddsketch insert single,,,11067.0,2160
oddsketch insert single,,,12252.0,2400
oddsketch insert single,,,13324.0,2640
oddsketch insert single,,,15052.0,2880
oddsketch insert single,,,16390.0,3120
oddsketch insert single,,,17436.0,3360
oddsketch insert single,,,18627.0,3600
oddsketch insert single,,,19838.0,3840
oddsketch insert single,,,20913.0,4080
oddsketch insert single,,,22074.0,4320
oddsketch insert single,,,23330.0,4560
oddsketch insert single,,,24554.0,4800
oddsketch insert single,,,25833.0,5040
oddsketch insert single,,,28298.0,5280
oddsketch insert single,,,28043.0,5520
oddsketch insert single,,,29211.0,5760
oddsketch insert single,,,30895.0,6000
oddsketch insert single,,,31869.0,6240
oddsketch insert single,,,34030.0,6480
oddsketch insert single,,,35982.0,6720
oddsketch insert single,,,35655.0,6960
oddsketch insert single,,,37049.0,7200
oddsketch insert single,,,38096.0,7440
oddsketch insert single,,,39579.0,7680
oddsketch insert single,,,40643.0,7920
oddsketch insert single,,,41774.0,8160
oddsketch insert single,,,43156.0,8400
oddsketch insert single,,,44997.0,8640
oddsketch insert single,,,46180.0,8880
oddsketch insert single,,,47656.0,9120
oddsketch insert single,,,48845.0,9360
oddsketch insert single,,,50229.0,9600
oddsketch insert single,,,51581.0,9840
oddsketch insert single,,,52489.0,10080
oddsketch insert single,,,54373.0,10320
oddsketch insert single,,,57187.0,10560
oddsketch insert single,,,57670.0,10800
oddsketch insert single,,,58729.0,11040
oddsketch insert single,,,60248.0,11280
oddsketch insert single,,,61767.0,11520
oddsketch insert single,,,65151.0,11760
oddsketch insert single,,,65129.0,12000
oddsketch insert single,,,65907.0,12240
oddsketch insert single,,,68020.0,12480
oddsketch insert single,,,69588.0,12720
oddsketch insert single,,,70242.0,12960
oddsketch insert single,,,71823.0,13200
oddsketch insert single,,,78236.0,13440
oddsketch insert single,,,75725.0,13680
oddsketch insert single,,,76191.0,13920
oddsketch insert single,,,77544.0,14160
oddsketch insert single,,,79373.0,14400
oddsketch insert single,,,80496.0,14640
oddsketch insert single,,,81901.0,14880
oddsketch insert single,,,82917.0,15120
oddsketch insert single,,,84087.0,15360
oddsketch insert single,,,86260.0,15600
oddsketch insert single,,,88328.0,15840
oddsketch insert single,,,103996.0,16080
oddsketch insert single,,,89775.0,16320
oddsketch insert single,,,92748.0,16560
oddsketch insert single,,,93182.0,16800
oddsketch insert single,,,93434.0,17040
oddsketch insert single,,,94583.0,17280
oddsketch insert single,,,96158.0,17520
oddsketch insert single,,,98731.0,17760
oddsketch insert single,,,102357.0,18000
oddsketch insert single,,,99714.0,18240
oddsketch insert single,,,100865.0,18480
oddsketch insert single,,,102014.0,18720
oddsketch insert single,,,107830.0,18960
oddsketch insert single,,,104268.0,19200
oddsketch insert single,,,107016.0,19440
oddsketch insert single,,,107738.0,19680
oddsketch insert single,,,114513.0,19920
oddsketch insert single,,,113171.0,20160
oddsketch insert single,,,124881.0,20400
oddsketch insert single,,,113295.0,20640
oddsketch insert single,,,127689.0,20880
oddsketch insert single,,,115095.0,21120
oddsketch insert single,,,116149.0,21360
oddsketch insert single,,,122473.0,21600
oddsketch insert single,,,118212.0,21840
oddsketch insert single,,,119827.0,22080
oddsketch insert single,,,123260.0,22320
oddsketch insert single,,,123137.0,22560
oddsketch insert single,,,123295.0,22800
oddsketch insert single,,,129184.0,23040
oddsketch insert single,,,125691.0,23280
oddsketch insert single,,,126799.0,23520
oddsketch insert single,,,129637.0,23760
oddsketch insert single,,,129115.0,24000
